numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion
4;user_screen_names;unordered_map;10000;0.000610315
5;user_screen_names;unordered_map;10000;0.000527422
6;user_screen_names;unordered_map;10000;0.000647422
7;user_screen_names;unordered_map;10000;0.000716248
8;user_screen_names;unordered_map;10000;0.000710648
9;user_screen_names;unordered_map;10000;0.000752842
10;user_screen_names;unordered_map;10000;0.000611923
11;user_screen_names;unordered_map;10000;0.000614942
12;user_screen_names;unordered_map;10000;0.000604939
13;user_screen_names;unordered_map;10000;0.00063453
14;user_screen_names;unordered_map;10000;0.000670275
15;user_screen_names;unordered_map;10000;0.000645625
16;user_screen_names;unordered_map;10000;0.000505323
17;user_screen_names;unordered_map;10000;0.000546979
18;user_screen_names;unordered_map;10000;0.000552499
19;user_screen_names;unordered_map;10000;0.000620273
20;user_screen_names;unordered_map;10000;0.000614272
1;user_ids;abierto;20000;0.00164663
2;user_ids;abierto;20000;0.00164484
3;user_ids;abierto;20000;0.00152997
4;user_ids;abierto;20000;0.00151274
5;user_ids;abierto;20000;0.00160741
6;user_ids;abierto;20000;0.00160795
7;user_ids;abierto;20000;0.00163708
8;user_ids;abierto;20000;0.00154667
9;user_ids;abierto;20000;0.001547
10;user_ids;abierto;20000;0.00144217
11;user_ids;abierto;20000;0.00150489
12;user_ids;abierto;20000;0.00156549
13;user_ids;abierto;20000;0.00147171
14;user_ids;abierto;20000;0.00146952
15;user_ids;abierto;20000;0.00153403
16;user_ids;abierto;20000;0.0014882
17;user_ids;abierto;20000;0.00148244
18;user_ids;abierto;20000;0.00165613
19;user_ids;abierto;20000;0.00153183
20;user_ids;abierto;20000;0.00154364
1;user_screen_names;abierto;20000;0.00175796
2;user_screen_names;abierto;20000;0.00176835
3;user_screen_names;abierto;20000;0.00187418
4;user_screen_names;abierto;20000;0.00186466
5;user_screen_names;abierto;20000;0.00217067
6;user_screen_names;abierto;20000;0.00185009
7;user_screen_names;abierto;20000;0.00185149
8;user_screen_names;abierto;20000;0.00176391
9;user_screen_names;abierto;20000;0.00188809
10;user_screen_names;abierto;20000;0.00185002
11;user_screen_names;abierto;20000;0.00177679
12;user_screen_names;abierto;20000;0.00212775
13;user_screen_names;abierto;20000;0.00209294
14;user_screen_names;abierto;20000;0.00172858
15;user_screen_names;abierto;20000;0.00179796
16;user_screen_names;abierto;20000;0.00200228
17;user_screen_names;abierto;20000;0.00177253
18;user_screen_names;abierto;20000;0.00184479
19;user_screen_names;abierto;20000;0.0018489
20;user_screen_names;abierto;20000;0.00193694
1;user_ids;lineal;20000;0.438315
2;user_ids;lineal;20000;0.436146
3;user_ids;lineal;20000;0.437165
4;user_ids;lineal;20000;0.435872
5;user_ids;lineal;20000;0.43437
6;user_ids;lineal;20000;0.434373
7;user_ids;lineal;20000;0.436371
8;user_ids;lineal;20000;0.473118
9;user_ids;lineal;20000;0.473876
10;user_ids;lineal;20000;0.471622
11;user_ids;lineal;20000;0.476236
12;user_ids;lineal;20000;0.444511
13;user_ids;lineal;20000;0.43716
14;user_ids;lineal;20000;0.439813
15;user_ids;lineal;20000;0.436156
16;user_ids;lineal;20000;0.438555
17;user_ids;lineal;20000;0.438505
18;user_ids;lineal;20000;0.439688
19;user_ids;lineal;20000;0.437482
20;user_ids;lineal;20000;0.437632
1;user_screen_names;lineal;20000;0.00164351
2;user_screen_names;lineal;20000;0.00154701
3;user_screen_names;lineal;20000;0.00157422
4;user_screen_names;lineal;20000;0.00157334
5;user_screen_names;lineal;20000;0.00162136
6;user_screen_names;lineal;20000;0.0016097
7;user_screen_names;lineal;20000;0.00158626
8;user_screen_names;lineal;20000;0.00160362
9;user_screen_names;lineal;20000;0.00161348
10;user_screen_names;lineal;20000;0.00156712
11;user_screen_names;lineal;20000;0.00158364
12;user_screen_names;lineal;20000;0.00159984
13;user_screen_names;lineal;20000;0.00163022
14;user_screen_names;lineal;20000;0.00156758
15;user_screen_names;lineal;20000;0.00157248
16;user_screen_names;lineal;20000;0.00158242
17;user_screen_names;lineal;20000;0.00160309
18;user_screen_names;lineal;20000;0.00162814
19;user_screen_names;lineal;20000;0.00156561
20;user_screen_names;lineal;20000;0.00156321
1;user_ids;cuadratico;20000;0.550067
2;user_ids;cuadratico;20000;0.546953
3;user_ids;cuadratico;20000;0.552303
4;user_ids;cuadratico;20000;0.555804
5;user_ids;cuadratico;20000;0.557004
6;user_ids;cuadratico;20000;0.550669
7;user_ids;cuadratico;20000;0.551244
8;user_ids;cuadratico;20000;0.550889
9;user_ids;cuadratico;20000;0.55613
10;user_ids;cuadratico;20000;0.556189
11;user_ids;cuadratico;20000;0.554596
12;user_ids;cuadratico;20000;0.557098
13;user_ids;cuadratico;20000;0.550276
14;user_ids;cuadratico;20000;0.546351
15;user_ids;cuadratico;20000;0.543066
16;user_ids;cuadratico;20000;0.54518
17;user_ids;cuadratico;20000;0.548891
18;user_ids;cuadratico;20000;0.54633
19;user_ids;cuadratico;20000;0.552997
20;user_ids;cuadratico;20000;0.552138
1;user_screen_names;cuadratico;20000;0.00194303
2;user_screen_names;cuadratico;20000;0.00190747
3;user_screen_names;cuadratico;20000;0.00187838
4;user_screen_names;cuadratico;20000;0.00204015
5;user_screen_names;cuadratico;20000;0.00232379
6;user_screen_names;cuadratico;20000;0.00192235
7;user_screen_names;cuadratico;20000;0.00191531
8;user_screen_names;cuadratico;20000;0.00201544
9;user_screen_names;cuadratico;20000;0.0020079
10;user_screen_names;cuadratico;20000;0.00190986
11;user_screen_names;cuadratico;20000;0.00202299
12;user_screen_names;cuadratico;20000;0.00192446
13;user_screen_names;cuadratico;20000;0.00196703
14;user_screen_names;cuadratico;20000;0.00210491
15;user_screen_names;cuadratico;20000;0.00191503
16;user_screen_names;cuadratico;20000;0.00190983
17;user_screen_names;cuadratico;20000;0.00189324
18;user_screen_names;cuadratico;20000;0.00199159
19;user_screen_names;cuadratico;20000;0.0019648
20;user_screen_names;cuadratico;20000;0.00187345
1;user_ids;doble;20000;0.00122571
2;user_ids;doble;20000;0.00132337
3;user_ids;doble;20000;0.00124159
4;user_ids;doble;20000;0.00126846
5;user_ids;doble;20000;0.00122408
6;user_ids;doble;20000;0.00122618
7;user_ids;doble;20000;0.00128014
8;user_ids;doble;20000;0.00133679
9;user_ids;doble;20000;0.00123705
10;user_ids;doble;20000;0.00123439
11;user_ids;doble;20000;0.00129349
12;user_ids;doble;20000;0.00125882
13;user_ids;doble;20000;0.00145229
14;user_ids;doble;20000;0.00136037
15;user_ids;doble;20000;0.00129329
16;user_ids;doble;20000;0.0013865
17;user_ids;doble;20000;0.00124936
18;user_ids;doble;20000;0.00127916
19;user_ids;doble;20000;0.00129184
20;user_ids;doble;20000;0.00128074
1;user_screen_names;doble;20000;0.00250594
2;user_screen_names;doble;20000;0.00260536
3;user_screen_names;doble;20000;0.00249568
4;user_screen_names;doble;20000;0.00259676
5;user_screen_names;doble;20000;0.00253697
6;user_screen_names;doble;20000;0.00271922
7;user_screen_names;doble;20000;0.00253632
8;user_screen_names;doble;20000;0.00258412
9;user_screen_names;doble;20000;0.00253672
10;user_screen_names;doble;20000;0.00255287
11;user_screen_names;doble;20000;0.00254785
12;user_screen_names;doble;20000;0.0027878
13;user_screen_names;doble;20000;0.00250645
14;user_screen_names;doble;20000;0.00263481
15;user_screen_names;doble;20000;0.00272862
16;user_screen_names;doble;20000;0.00259598
17;user_screen_names;doble;20000;0.00268589
18;user_screen_names;doble;20000;0.00307957
19;user_screen_names;doble;20000;0.00257087
20;user_screen_names;doble;20000;0.002546
1;user_ids;unordered_map;20000;0.00129954
2;user_ids;unordered_map;20000;0.00108997
3;user_ids;unordered_map;20000;0.00111403
4;user_ids;unordered_map;20000;0.00133347
5;user_ids;unordered_map;20000;0.00117068
6;user_ids;unordered_map;20000;0.00110218
7;user_ids;unordered_map;20000;0.00104064
8;user_ids;unordered_map;20000;0.00119489
9;user_ids;unordered_map;20000;0.00102184
10;user_ids;unordered_map;20000;0.00104079
11;user_ids;unordered_map;20000;0.00102316
12;user_ids;unordered_map;20000;0.00101858
13;user_ids;unordered_map;20000;0.00101976
14;user_ids;unordered_map;20000;0.00104498
15;user_ids;unordered_map;20000;0.0010181
16;user_ids;unordered_map;20000;0.00101945
17;user_ids;unordered_map;20000;0.00103052
18;user_ids;unordered_map;20000;0.00102308
19;user_ids;unordered_map;20000;0.00104081
20;user_ids;unordered_map;20000;0.00104946
1;user_screen_names;unordered_map;20000;0.0010332
2;user_screen_names;unordered_map;20000;0.00103224
3;user_screen_names;unordered_map;20000;0.000970743
4;user_screen_names;unordered_map;20000;0.000971788
5;user_screen_names;unordered_map;20000;0.000978603
6;user_screen_names;unordered_map;20000;0.000945269
7;user_screen_names;unordered_map;20000;0.000978121
8;user_screen_names;unordered_map;20000;0.00100878
9;user_screen_names;unordered_map;20000;0.000989654
10;user_screen_names;unordered_map;20000;0.000951407
11;user_screen_names;unordered_map;20000;0.000988558
12;user_screen_names;unordered_map;20000;0.000949329
13;user_screen_names;unordered_map;20000;0.0009708
14;user_screen_names;unordered_map;20000;0.00101741
15;user_screen_names;unordered_map;20000;0.00103769
16;user_screen_names;unordered_map;20000;0.00119052
17;user_screen_names;unordered_map;20000;0.000979975
18;user_screen_names;unordered_map;20000;0.00117431
19;user_screen_names;unordered_map;20000;0.00110088
20;user_screen_names;unordered_map;20000;0.000956737
1;user_ids;abierto;30000;0.00227314
2;user_ids;abierto;30000;0.00225571
3;user_ids;abierto;30000;0.00213263
4;user_ids;abierto;30000;0.00217351
5;user_ids;abierto;30000;0.00213088
6;user_ids;abierto;30000;0.00218629
7;user_ids;abierto;30000;0.00222686
8;user_ids;abierto;30000;0.00215246
9;user_ids;abierto;30000;0.00220273
10;user_ids;abierto;30000;0.00214708
11;user_ids;abierto;30000;0.00220729
12;user_ids;abierto;30000;0.00219956
13;user_ids;abierto;30000;0.00213209
14;user_ids;abierto;30000;0.00217178
15;user_ids;abierto;30000;0.00216634
16;user_ids;abierto;30000;0.00223769
17;user_ids;abierto;30000;0.00219324
18;user_ids;abierto;30000;0.00217413
19;user_ids;abierto;30000;0.00215643
20;user_ids;abierto;30000;0.00225768
1;user_screen_names;abierto;30000;0.00302869
2;user_screen_names;abierto;30000;0.00314924
3;user_screen_names;abierto;30000;0.00322699
4;user_screen_names;abierto;30000;0.00307577
5;user_screen_names;abierto;30000;0.00296047
6;user_screen_names;abierto;30000;0.00311668
7;user_screen_names;abierto;30000;0.00304827
8;user_screen_names;abierto;30000;0.00305117
9;user_screen_names;abierto;30000;0.00309075
10;user_screen_names;abierto;30000;0.00308808
11;user_screen_names;abierto;30000;0.00307033
12;user_screen_names;abierto;30000;0.00310447
13;user_screen_names;abierto;30000;0.00305737
14;user_screen_names;abierto;30000;0.00301473
15;user_screen_names;abierto;30000;0.00304903
16;user_screen_names;abierto;30000;0.00308809
17;user_screen_names;abierto;30000;0.00326732
18;user_screen_names;abierto;30000;0.00301533
19;user_screen_names;abierto;30000;0.00319724
20;user_screen_names;abierto;30000;0.0030174
1;user_ids;lineal;30000;0.896526
2;user_ids;lineal;30000;0.879257
3;user_ids;lineal;30000;0.879566
4;user_ids;lineal;30000;0.883206
5;user_ids;lineal;30000;0.885609
6;user_ids;lineal;30000;0.889264
7;user_ids;lineal;30000;0.889924
8;user_ids;lineal;30000;0.899123
9;user_ids;lineal;30000;0.895338
10;user_ids;lineal;30000;0.896495
11;user_ids;lineal;30000;0.897829
12;user_ids;lineal;30000;0.897706
13;user_ids;lineal;30000;0.895282
14;user_ids;lineal;30000;0.897256
15;user_ids;lineal;30000;0.898374
16;user_ids;lineal;30000;0.89827
17;user_ids;lineal;30000;0.913838
18;user_ids;lineal;30000;0.915571
19;user_ids;lineal;30000;0.913701
20;user_ids;lineal;30000;0.910581
1;user_screen_names;lineal;30000;0.00275306
2;user_screen_names;lineal;30000;0.00281712
3;user_screen_names;lineal;30000;0.00274172
4;user_screen_names;lineal;30000;0.00273784
5;user_screen_names;lineal;30000;0.00274416
6;user_screen_names;lineal;30000;0.00283899
7;user_screen_names;lineal;30000;0.00282679
8;user_screen_names;lineal;30000;0.00270675
9;user_screen_names;lineal;30000;0.00277386
10;user_screen_names;lineal;30000;0.00276133
11;user_screen_names;lineal;30000;0.00274514
12;user_screen_names;lineal;30000;0.00335532
13;user_screen_names;lineal;30000;0.00273847
14;user_screen_names;lineal;30000;0.00294257
15;user_screen_names;lineal;30000;0.00281716
16;user_screen_names;lineal;30000;0.00274195
17;user_screen_names;lineal;30000;0.00269212
18;user_screen_names;lineal;30000;0.0028339
19;user_screen_names;lineal;30000;0.00279063
20;user_screen_names;lineal;30000;0.00273487
1;user_ids;cuadratico;30000;1.17171
2;user_ids;cuadratico;30000;1.16922
3;user_ids;cuadratico;30000;1.16741
4;user_ids;cuadratico;30000;1.17807
5;user_ids;cuadratico;30000;1.2034
6;user_ids;cuadratico;30000;1.19898
7;user_ids;cuadratico;30000;1.1783
8;user_ids;cuadratico;30000;1.17146
9;user_ids;cuadratico;30000;1.16915
10;user_ids;cuadratico;30000;1.17459
11;user_ids;cuadratico;30000;1.18117
12;user_ids;cuadratico;30000;1.18542
13;user_ids;cuadratico;30000;1.19062
14;user_ids;cuadratico;30000;1.19217
15;user_ids;cuadratico;30000;1.17086
16;user_ids;cuadratico;30000;1.1748
17;user_ids;cuadratico;30000;1.17699
18;user_ids;cuadratico;30000;1.17358
19;user_ids;cuadratico;30000;1.1831
20;user_ids;cuadratico;30000;1.17675
1;user_screen_names;cuadratico;30000;0.00342148
2;user_screen_names;cuadratico;30000;0.00350866
3;user_screen_names;cuadratico;30000;0.00346354
4;user_screen_names;cuadratico;30000;0.00347187
5;user_screen_names;cuadratico;30000;0.0034086
6;user_screen_names;cuadratico;30000;0.00344031
7;user_screen_names;cuadratico;30000;0.00345862
8;user_screen_names;cuadratico;30000;0.00348975
9;user_screen_names;cuadratico;30000;0.00356173
10;user_screen_names;cuadratico;30000;0.00344715
11;user_screen_names;cuadratico;30000;0.00347705
12;user_screen_names;cuadratico;30000;0.00350318
13;user_screen_names;cuadratico;30000;0.00344716
14;user_screen_names;cuadratico;30000;0.00343227
15;user_screen_names;cuadratico;30000;0.00347684
16;user_screen_names;cuadratico;30000;0.00344887
17;user_screen_names;cuadratico;30000;0.00367489
18;user_screen_names;cuadratico;30000;0.00350928
19;user_screen_names;cuadratico;30000;0.00350607
20;user_screen_names;cuadratico;30000;0.00355803
1;user_ids;doble;30000;0.00188523
2;user_ids;doble;30000;0.00210131
3;user_ids;doble;30000;0.00209688
4;user_ids;doble;30000;0.00189756
5;user_ids;doble;30000;0.00212591
6;user_ids;doble;30000;0.00204852
7;user_ids;doble;30000;0.0019955
8;user_ids;doble;30000;0.00210575
9;user_ids;doble;30000;0.00195412
10;user_ids;doble;30000;0.00189757
11;user_ids;doble;30000;0.00189597
12;user_ids;doble;30000;0.00196575
13;user_ids;doble;30000;0.0018621
14;user_ids;doble;30000;0.00189562
15;user_ids;doble;30000;0.00189902
16;user_ids;doble;30000;0.00197376
17;user_ids;doble;30000;0.00186346
18;user_ids;doble;30000;0.00193743
19;user_ids;doble;30000;0.00189378
20;user_ids;doble;30000;0.00197799
1;user_screen_names;doble;30000;0.00460877
2;user_screen_names;doble;30000;0.00466161
3;user_screen_names;doble;30000;0.00464322
4;user_screen_names;doble;30000;0.00463641
5;user_screen_names;doble;30000;0.00470152
6;user_screen_names;doble;30000;0.00469388
7;user_screen_names;doble;30000;0.00455278
8;user_screen_names;doble;30000;0.00462898
9;user_screen_names;doble;30000;0.00462159
10;user_screen_names;doble;30000;0.00460583
11;user_screen_names;doble;30000;0.00463366
12;user_screen_names;doble;30000;0.00462488
13;user_screen_names;doble;30000;0.0050381
14;user_screen_names;doble;30000;0.00456926
15;user_screen_names;doble;30000;0.00464012
16;user_screen_names;doble;30000;0.00457664
17;user_screen_names;doble;30000;0.00460398
18;user_screen_names;doble;30000;0.00455457
19;user_screen_names;doble;30000;0.00470949
20;user_screen_names;doble;30000;0.00457163
1;user_ids;unordered_map;30000;0.00156094
2;user_ids;unordered_map;30000;0.00152168
3;user_ids;unordered_map;30000;0.00149969
4;user_ids;unordered_map;30000;0.00151211
5;user_ids;unordered_map;30000;0.00200754
6;user_ids;unordered_map;30000;0.00149287
7;user_ids;unordered_map;30000;0.00147989
8;user_ids;unordered_map;30000;0.0015486
9;user_ids;unordered_map;30000;0.00153313
10;user_ids;unordered_map;30000;0.0014967
11;user_ids;unordered_map;30000;0.00151194
12;user_ids;unordered_map;30000;0.00160887
13;user_ids;unordered_map;30000;0.00146917
14;user_ids;unordered_map;30000;0.00156691
15;user_ids;unordered_map;30000;0.00155176
16;user_ids;unordered_map;30000;0.00151681
17;user_ids;unordered_map;30000;0.00156271
18;user_ids;unordered_map;30000;0.00148914
19;user_ids;unordered_map;30000;0.00154972
20;user_ids;unordered_map;30000;0.00153151
1;user_screen_names;unordered_map;30000;0.00144548
2;user_screen_names;unordered_map;30000;0.00140261
3;user_screen_names;unordered_map;30000;0.00148606
4;user_screen_names;unordered_map;30000;0.00142107
5;user_screen_names;unordered_map;30000;0.00141505
6;user_screen_names;unordered_map;30000;0.00156255
7;user_screen_names;unordered_map;30000;0.00137273
8;user_screen_names;unordered_map;30000;0.00137233
9;user_screen_names;unordered_map;30000;0.00147736
10;user_screen_names;unordered_map;30000;0.00181252
11;user_screen_names;unordered_map;30000;0.00139227
12;user_screen_names;unordered_map;30000;0.00137305
13;user_screen_names;unordered_map;30000;0.00154681
14;user_screen_names;unordered_map;30000;0.00137887
15;user_screen_names;unordered_map;30000;0.00161451
16;user_screen_names;unordered_map;30000;0.00158436
17;user_screen_names;unordered_map;30000;0.00136444
18;user_screen_names;unordered_map;30000;0.00153403
19;user_screen_names;unordered_map;30000;0.00155949
20;user_screen_names;unordered_map;30000;0.00158661
1;user_ids;abierto;40000;0.00268571
2;user_ids;abierto;40000;0.00264681
